epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,490.684,1.52011,1.98165,1.33238,0.81738,0.5043,0.54808,0.30448,1.56764,1.43377,1.23282,0.00999644,0.00333215,0.00999644,0.00333215,0.00999644,0.00333215,0.00999644,0.00333215
2,851.091,1.37376,1.10584,1.22705,0.71481,0.57388,0.63038,0.35349,1.56313,1.17149,1.24484,0.0197985,0.00659949,0.0197985,0.00659949,0.0197985,0.00659949,0.0197985,0.00659949
3,1148.71,1.37839,0.98361,1.2332,0.8007,0.55924,0.5999,0.32747,1.59067,1.21703,1.25862,0.0294025,0.00980084,0.0294025,0.00980084,0.0294025,0.00980084,0.0294025,0.00980084
4,1437.27,1.35939,0.89955,1.22788,0.77945,0.58544,0.62074,0.34775,1.55367,1.08424,1.24493,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1724.13,1.29485,0.80187,1.19485,0.74524,0.64763,0.6788,0.39507,1.51767,0.95264,1.21218,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2008.73,1.2577,0.74364,1.17453,0.83834,0.60265,0.63193,0.37556,1.50007,0.92353,1.2285,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2288.78,1.22116,0.7059,1.15328,0.77482,0.67174,0.68908,0.39302,1.45483,0.84324,1.20812,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2569.45,1.1988,0.68312,1.13604,0.77487,0.60463,0.71167,0.42244,1.45176,0.82309,1.19791,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2849.84,1.17503,0.65972,1.11811,0.79058,0.66309,0.68171,0.41294,1.41546,0.77508,1.1715,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3130.38,1.15928,0.64242,1.10558,0.80585,0.65183,0.74995,0.45436,1.40311,0.78117,1.16341,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3415.02,1.14958,0.63044,1.09765,0.69874,0.76762,0.728,0.44178,1.3879,0.74167,1.15905,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3695.91,1.12832,0.61162,1.08494,0.64787,0.75443,0.70779,0.42526,1.38118,0.73715,1.15433,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3978.28,1.11809,0.60094,1.07411,0.68294,0.71555,0.7535,0.45388,1.39005,0.70001,1.14679,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4259.69,1.10972,0.59649,1.06845,0.74441,0.77572,0.75184,0.46652,1.35973,0.69689,1.13137,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4541.7,1.09964,0.58092,1.06025,0.71418,0.73713,0.72649,0.4435,1.37155,0.71694,1.13312,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
